"yellow_hub","brown_hub","blue_hub","turquoise_hub","grey_hub"
"YWHAB","SLC4A1","CD44","SERPINC1","BST1"
"YWHAG","BBOF1","F7","APOB","ANPEP"
"YWHAZ","CA1","DNAL4","APOE","HSPG2"
"ACTC1","CASP14","EFEMP1","C4BPA","KRT77"
"ACTA1","CRP","HBD","C4BPB","KRT2"
"ACTA2","DCD","HLA-A","CPB2","KRT4"
"ACTB","FCGBP","ICAM1","CPN2","KRT6B"
"ACTG2","IGHD","LUM","F9","KRT75"
"ACTN1","IGKV2D-28","CD58","F10","DEFA1B"
"ACTBL2","LCN1","NCAM1","F11","DEFA3"
"CALM3","CRAMP1","PI16","F12","PIP5K1A"
"CALR","S100A4","LCAT","C1QA","PIP5K1B"
"CFL1","SAA1","GPLD1","C1QC","PIP5K1C"
"CCNE1","TEX28","GP1BA","C1S",""
"IGLV10-54","PEPD","SHBG","C4B",""
"KRT19","","TNXB","C5",""
"MTPN","","TMC8","C6",""
"POTEE","","","C8A",""
"POTEF","","","C8B",""
"POTEI","","","C8G",""
"POTEJ","","","CFH",""
"PFN1","","","CFI",""
"TLN1","","","FGA",""
"TAGLN2","","","FGB",""
"TPI1","","","FGG",""
"TPM4","","","FN1",""
"VASN","","","GZMH",""
"VCL","","","HPX",""
"","","","IGFALS",""
"","","","ITIH1",""
"","","","ITIH2",""
"","","","SERPINA4",""
"","","","LSAMP",""
"","","","PGLYRP2",""
"","","","PLTP",""
"","","","SERPINF1",""
"","","","KLKB1",""
"","","","PLG",""
"","","","SERPINA10",""
"","","","PRG4",""
"","","","F2",""
"","","","SEMA6D",""
"","","","PROS1",""
